資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
0101年11月01日,006208,富邦台50,30.43,28.58,1.844,息,30.58,26.58,28.58,28.58,除權息資料,0110年03月16日,77.76,
0102年10月30日,006208,富邦台50,32.95,32.32,0.629,息,34.58,30.06,32.32,32.32,除權息資料,0110年03月16日,77.76,
0103年10月29日,006208,富邦台50,37.41,36.19,1.212,息,38.72,33.66,36.19,36.19,除權息資料,0110年03月16日,77.76,
0104年10月29日,006208,富邦台50,37.34,36.49,0.845,息,40.13,32.85,36.49,36.49,除權息資料,0110年03月16日,77.76,
0105年08月02日,006208,富邦台50,39.8,39.75,0.043,息,43.72,35.78,39.75,39.75,除權息資料,0110年03月16日,77.76,
0106年07月27日,006208,富邦台50,48.6,47.6,1.0,息,52.35,42.84,47.6,47.6,除權息資料,0110年03月16日,77.76,
0106年11月30日,006208,富邦台50,49.13,47.48,1.65,息,52.2,42.74,47.48,47.48,除權息資料,0110年03月16日,77.76,
0107年07月26日,006208,富邦台50,49.08,48.43,0.65,息,53.25,43.59,48.43,48.43,除權息資料,0110年03月16日,77.76,
0107年11月29日,006208,富邦台50,44.61,42.61,2.0,息,46.87,38.35,42.61,42.61,除權息資料,0110年03月16日,77.76,
0108年07月18日,006208,富邦台50,47.41,46.74,0.6609999999999999,息,51.4,42.07,46.74,46.74,除權息資料,0110年03月16日,77.76,
0108年11月20日,006208,富邦台50,53.1,51.96,1.138,息,57.15,46.77,51.95,51.96,除權息資料,0110年03月16日,77.76,
0109年07月21日,006208,富邦台50,55.5,55.01,0.48100000000000004,息,60.5,49.51,55,55.01,除權息資料,0110年03月16日,77.76,
0109年11月17日,006208,富邦台50,64.5,63.36,1.139,息,69.65,57.05,63.35,63.36,除權息資料,0110年03月16日,77.76,
